poem_id,kind,poem,phonetic
1,上の句,あきのたのかりほのいほのとまおあらみ,アキノタノカリホノイホノトマオアラミ
1,下の句,わがころもではつゆにぬれつつ,ワガコロモデハツユニヌレツツ
2,上の句,はるすぎてなつきにけらししろたへの,ハルスギテナツキニケラシシロタヘノ
2,下の句,ころもほすてふあまのかぐやま,コロモホステフアマノカグヤマ
3,上の句,あしびきのやまどりのおのしだりおの,アシビキノヤマドリノオノシダリオノ
3,下の句,ながながしよおひとりかもねむ,ナガナガシヨオヒトリカモネム
4,上の句,たごのうらにうちいでてみればしろたへの,タゴノウラニウチイデテミレバシロタヘノ
4,下の句,ふじのたかねにゆきはふりつつ,フジノタカネニユキハフリツツ
5,上の句,おくやまにもみじふみわけなくしかの,オクヤマニモミジフミワケナクシカノ
5,下の句,こえきくときぞあきはかなしき,コエキクトキゾアキハカナシキ
6,上の句,かささぎのわたせるはしにおくしもの,カササギノワタセルハシニオクシモノ
6,下の句,しろきおみればよぞふけにける,シロキオミレバヨゾフケニケル
7,上の句,あまのはらふりさけみればかすがなる,アマノハラフリサケミレバカスガナル
7,下の句,みかさのやまにいでしつきかも,ミカサノヤマニイデシツキカモ
8,上の句,わがいほはみやこのたつみしかぞすむ,ワガイホハミヤコノタツミシカゾスム
8,下の句,よおうじやまとひとはいふなり,ヨオウジヤマトヒトハイフナリ
9,上の句,はなのいろはうつりにけりないたずらに,ハナノイロハウツリニケリナイタズラニ
9,下の句,わがみよにふるながめせしまに,ワガミヨニフルナガメセシマニ
10,上の句,これやこのゆくもかへるもわかれては,コレヤコノユクモカヘルモワカレテハ
10,下の句,しるもしらぬもあふさかのせき,シルモシラヌモアフサカノセキ
11,上の句,わたのはらやそしまかけてこぎいでぬと,ワタノハラヤソシマカケテコギイデヌト
11,下の句,ひとにはつげよあまのつりぶね,ヒトニハツゲヨアマノツリブネ
12,上の句,あまつかぜくものかよひじふきとじよ,アマツカゼクモノカヨヒジフキトジヨ
12,下の句,おとめのすがたしばしとどめむ,オトメノスガタシバシトドメム
13,上の句,つくばねのみねよりおつるみなのがは,ツクバネノミネヨリオツルミナノガハ
13,下の句,こひぞつもりてふちとなりぬる,コヒゾツモリテフチトナリヌル
14,上の句,みちのくのしのぶもじずりたれゆえに,ミチノクノシノブモジズリタレユエニ
14,下の句,みだれそめにしわれならなくに,ミダレソメニシワレナラナクニ
15,上の句,きみがためはるののにいでてわかなつむ,キミガタメハルノノニイデテワカナツム
15,下の句,わがころもでにゆきはふりつつ,ワガコロモデニユキハフリツツ
16,上の句,たちわかれいなばのやまのみねにおふる,タチワカレイナバノヤマノミネニオフル
16,下の句,まつとしきかばいまかへりこむ,マツトシキカバイマカヘリコム
17,上の句,ちはやぶるかみよもきかずたつたがは,チハヤブルカミヨモキカズタツタガハ
17,下の句,からくれないにみずくくるとは,カラクレナイニミズククルトハ
18,上の句,すみのえのきしによるなみよるさへや,スミノエノキシニヨルナミヨルサヘヤ
18,下の句,ゆめのかよひじひとめよくらむ,ユメノカヨヒジヒトメヨクラム
19,上の句,なにはがたみじかきあしのふしのまも,ナニハガタミジカキアシノフシノマモ
19,下の句,あはでこのよおすぐしてよとや,アハデコノヨオスグシテヨトヤ
20,上の句,わびぬればいまはたおなじなにはなる,ワビヌレバイマハタオナジナニハナル
20,下の句,みおつくしてもあはむとぞおもふ,ミオツクシテモアハムトゾオモフ
21,上の句,いまこむといひしばかりにながつきの,イマコムトイヒシバカリニナガツキノ
21,下の句,ありあけのつきおまちいでつるかな,アリアケノツキオマチイデツルカナ
22,上の句,ふくからにあきのくさきのしおるれば,フクカラニアキノクサキノシオルレバ
22,下の句,むべやまかぜおあらしといふらむ,ムベヤマカゼオアラシトイフラム
23,上の句,つきみればちじにものこそかなしけれ,ツキミレバチジニモノコソカナシケレ
23,下の句,わがみひとつのあきにはあらねど,ワガミヒトツノアキニハアラネド
24,上の句,このたびはぬさもとりあへずたむけやま,コノタビハヌサモトリアヘズタムケヤマ
24,下の句,もみじのにしきかみのまにまに,モミジノニシキカミノマニマニ
25,上の句,なにしおはばあふさかやまのさねかずら,ナニシオハバアフサカヤマノサネカズラ
25,下の句,ひとにしられでくるよしもがな,ヒトニシラレデクルヨシモガナ
26,上の句,おぐらやまみねのもみじばこころあらば,オグラヤマミネノモミジバココロアラバ
26,下の句,いまひとたびのみゆきまたなむ,イマヒトタビノミユキマタナム
27,上の句,みかのはらわきてながるるいずみがは,ミカノハラワキテナガルルイズミガハ
27,下の句,いつみきとてかこひしかるらむ,イツミキトテカコヒシカルラム
28,上の句,やまざとはふゆぞさびしさまさりける,ヤマザトハフユゾサビシサマサリケル
28,下の句,ひとめもくさもかれぬとおもへば,ヒトメモクサモカレヌトオモヘバ
29,上の句,こころあてにおらばやおらむはつしもの,ココロアテニオラバヤオラムハツシモノ
29,下の句,おきまどはせるしらぎくのはな,オキマドハセルシラギクノハナ
30,上の句,ありあけのつれなくみえしわかれより,アリアケノツレナクミエシワカレヨリ
30,下の句,あかつきばかりうきものはなし,アカツキバカリウキモノハナシ
31,上の句,あさぼらけありあけのつきとみるまでに,アサボラケアリアケノツキトミルマデニ
31,下の句,よしののさとにふれるしらゆき,ヨシノノサトニフレルシラユキ
32,上の句,やまがはにかぜのかけたるしがらみは,ヤマガハニカゼノカケタルシガラミハ
32,下の句,ながれもあへぬもみじなりけり,ナガレモアヘヌモミジナリケリ
33,上の句,ひさかたのひかりのどけきはるのひに,ヒサカタノヒカリノドケキハルノヒニ
33,下の句,しずごころなくはなのちるらむ,シズゴコロナクハナノチルラム
34,上の句,たれおかもしるひとにせむたかさごの,タレオカモシルヒトニセムタカサゴノ
34,下の句,まつもむかしのともならなくに,マツモムカシノトモナラナクニ
35,上の句,ひとはいさこころもしらずふるさとは,ヒトハイサココロモシラズフルサトハ
35,下の句,はなぞむかしのかににほひける,ハナゾムカシノカニニホヒケル
36,上の句,なつのよはまだよひながらあけぬるお,ナツノヨハマダヨヒナガラアケヌルオ
36,下の句,くものいずこにつきやどるらむ,クモノイズコニツキヤドルラム
37,上の句,しらつゆにかぜのふきしくあきののは,シラツユニカゼノフキシクアキノノハ
37,下の句,つらぬきとめぬたまぞちりける,ツラヌキトメヌタマゾチリケル
38,上の句,わすらるるみおばおもはずちかひてし,ワスラルルミオバオモハズチカヒテシ
38,下の句,ひとのいのちのおしくもあるかな,ヒトノイノチノオシクモアルカナ
39,上の句,あさじふのおののしのはらしのぶれど,アサジフノオノノシノハラシノブレド
39,下の句,あまりてなどかひとのこひしき,アマリテナドカヒトノコヒシキ
40,上の句,しのぶれどいろにいでにけりわがこひは,シノブレドイロニイデニケリワガコヒハ
40,下の句,ものやおもふとひとのとふまで,モノヤオモフトヒトノトフマデ
41,上の句,こひすてふわがなはまだきたちにけり,コヒステフワガナハマダキタチニケリ
41,下の句,ひとしれずこそおもひそめしか,ヒトシレズコソオモヒソメシカ
42,上の句,ちぎりきなかたみにそでおしぼりつつ,チギリキナカタミニソデオシボリツツ
42,下の句,すえのまつやまなみこさじとは,スエノマツヤマナミコサジトハ
43,上の句,あひみてののちのこころにくらぶれば,アヒミテノノチノココロニクラブレバ
43,下の句,むかしはものおおもはざりけり,ムカシハモノオオモハザリケリ
44,上の句,あふことのたえてしなくはなかなかに,アフコトノタエテシナクハナカナカニ
44,下の句,ひとおもみおもうらみざらまし,ヒトオモミオモウラミザラマシ
45,上の句,あはれともいふべきひとはおもほえで,アハレトモイフベキヒトハオモホエデ
45,下の句,みのいたずらになりぬべきかな,ミノイタズラニナリヌベキカナ
46,上の句,ゆらのとおわたるふなびとかじおたえ,ユラノトオワタルフナビトカジオタエ
46,下の句,ゆくへもしらぬこひのみちかな,ユクヘモシラヌコヒノミチカナ
47,上の句,やへむぐらしげれるやどのさびしきに,ヤヘムグラシゲレルヤドノサビシキニ
47,下の句,ひとこそみえねあきはきにけり,ヒトコソミエネアキハキニケリ
48,上の句,かぜおいたみいはうつなみのおのれのみ,カゼオイタミイハウツナミノオノレノミ
48,下の句,くだけてものおおもふころかな,クダケテモノオオモフコロカナ
49,上の句,みかきもりえじのたくひのよるはもえ,ミカキモリエジノタクヒノヨルハモエ
49,下の句,ひるはきえつつものおこそおもへ,ヒルハキエツツモノオコソオモヘ
50,上の句,きみがためおしからざりしいのちさへ,キミガタメオシカラザリシイノチサヘ
50,下の句,ながくもがなとおもひけるかな,ナガクモガナトオモヒケルカナ
51,上の句,かくとだにえやはいぶきのさしもぐさ,カクトダニエヤハイブキノサシモグサ
51,下の句,さしもしらじなもゆるおもひお,サシモシラジナモユルオモヒオ
52,上の句,あけぬればくるるものとはしりながら,アケヌレバクルルモノトハシリナガラ
52,下の句,なほうらめしきあさぼらけかな,ナホウラメシキアサボラケカナ
53,上の句,なげきつつひとりぬるよのあくるまは,ナゲキツツヒトリヌルヨノアクルマハ
53,下の句,いかにひさしきものとかはしる,イカニヒサシキモノトカハシル
54,上の句,わすれじのゆくすえまではかたければ,ワスレジノユクスエマデハカタケレバ
54,下の句,けふおかぎりのいのちともがな,ケフオカギリノイノチトモガナ
55,上の句,たきのおとはたえてひさしくなりぬれど,タキノオトハタエテヒサシクナリヌレド
55,下の句,なこそながれてなほきこえけれ,ナコソナガレテナホキコエケレ
56,上の句,あらざらむこのよのほかのおもひでに,アラザラムコノヨノホカノオモヒデニ
56,下の句,いまひとたびのあふこともがな,イマヒトタビノアフコトモガナ
57,上の句,めぐりあひてみしやそれともわかぬまに,メグリアヒテミシヤソレトモワカヌマニ
57,下の句,くもがくれにしよはのつきかな,クモガクレニシヨハノツキカナ
58,上の句,ありまやまいなのささはらかぜふけば,アリマヤマイナノササハラカゼフケバ
58,下の句,いでそよひとおわすれやはする,イデソヨヒトオワスレヤハスル
59,上の句,やすらはでねなましものおさよふけて,ヤスラハデネナマシモノオサヨフケテ
59,下の句,かたぶくまでのつきおみしかな,カタブクマデノツキオミシカナ
60,上の句,おほえやまいくののみちのとほければ,オホエヤマイクノノミチノトホケレバ
60,下の句,まだふみもみずあまのはしだて,マダフミモミズアマノハシダテ
61,上の句,いにしへのならのみやこのやへざくら,イニシヘノナラノミヤコノヤヘザクラ
61,下の句,けふここのへににほひぬるかな,ケフココノヘニニホヒヌルカナ
62,上の句,よおこめてとりのそらねははかるとも,ヨオコメテトリノソラネハハカルトモ
62,下の句,よにあふさかのせきはゆるさじ,ヨニアフサカノセキハユルサジ
63,上の句,いまはただおもひたえなむとばかりお,イマハタダオモヒタエナムトバカリオ
63,下の句,ひとずてならでいふよしもがな,ヒトズテナラデイフヨシモガナ
64,上の句,あさぼらけうじのかはぎりたえだえに,アサボラケウジノカハギリタエダエニ
64,下の句,あらはれわたるせぜのあじろぎ,アラハレワタルセゼノアジロギ
65,上の句,うらみわびほさぬそでだにあるものお,ウラミワビホサヌソデダニアルモノオ
65,下の句,こひにくちなむなこそおしけれ,コヒニクチナムナコソオシケレ
66,上の句,もろともにあはれとおもへやまざくら,モロトモニアハレトオモヘヤマザクラ
66,下の句,はなよりほかにしるひともなし,ハナヨリホカニシルヒトモナシ
67,上の句,はるのよのゆめばかりなるたまくらに,ハルノヨノユメバカリナルタマクラニ
67,下の句,かひなくたたむなこそおしけれ,カヒナクタタムナコソオシケレ
68,上の句,こころにもあらでうきよにながらへば,ココロニモアラデウキヨニナガラヘバ
68,下の句,こひしかるべきよはのつきかな,コヒシカルベキヨハノツキカナ
69,上の句,あらしふくみむろのやまのもみじばは,アラシフクミムロノヤマノモミジバハ
69,下の句,たつたのかはのにしきなりけり,タツタノカハノニシキナリケリ
70,上の句,さびしさにやどおたちいでてながむれば,サビシサニヤドオタチイデテナガムレバ
70,下の句,いずこもおなじあきのゆふぐれ,イズコモオナジアキノユフグレ
71,上の句,ゆふさればかどたのいなばおとずれて,ユフサレバカドタノイナバオトズレテ
71,下の句,あしのまろやにあきかぜぞふく,アシノマロヤニアキカゼゾフク
72,上の句,おとにきくたかしのはまのあだなみは,オトニキクタカシノハマノアダナミハ
72,下の句,かけじやそでのぬれもこそすれ,カケジヤソデノヌレモコソスレ
73,上の句,たかさごのおのへのさくらさきにけり,タカサゴノオノヘノサクラサキニケリ
73,下の句,とやまのかすみたたずもあらなむ,トヤマノカスミタタズモアラナム
74,上の句,うかりけるひとおはつせのやまおろしよ,ウカリケルヒトオハツセノヤマオロシヨ
74,下の句,はげしかれとはいのらぬものお,ハゲシカレトハイノラヌモノオ
75,上の句,ちぎりおきしさせもがつゆおいのちにて,チギリオキシサセモガツユオイノチニテ
75,下の句,あはれことしのあきもいぬめり,アハレコトシノアキモイヌメリ
76,上の句,わたのはらこぎいでてみればひさかたの,ワタノハラコギイデテミレバヒサカタノ
76,下の句,くもいにまがふおきつしらなみ,クモイニマガフオキツシラナミ
77,上の句,せおはやみいはにせかるるたきがはの,セオハヤミイハニセカルルタキガハノ
77,下の句,われてもすえにあはむとぞおもふ,ワレテモスエニアハムトゾオモフ
78,上の句,あはじしまかよふちどりのなくこえに,アハジシマカヨフチドリノナクコエニ
78,下の句,いくよねざめぬすまのせきもり,イクヨネザメヌスマノセキモリ
79,上の句,あきかぜにたなびくくものたえまより,アキカゼニタナビククモノタエマヨリ
79,下の句,もれいずるつきのかげのさやけさ,モレイズルツキノカゲノサヤケサ
80,上の句,ながからむこころもしらずくろかみの,ナガカラムココロモシラズクロカミノ
80,下の句,みだれてけさはものおこそおもへ,ミダレテケサハモノオコソオモヘ
81,上の句,ほととぎすなきつるかたおながむれば,ホトトギスナキツルカタオナガムレバ
81,下の句,ただありあけのつきぞのこれる,タダアリアケノツキゾノコレル
82,上の句,おもひわびさてもいのちはあるものお,オモヒワビサテモイノチハアルモノオ
82,下の句,うきにたへぬはなみだなりけり,ウキニタヘヌハナミダナリケリ
83,上の句,よのなかよみちこそなけれおもひいる,ヨノナカヨミチコソナケレオモヒイル
83,下の句,やまのおくにもしかぞなくなる,ヤマノオクニモシカゾナクナル
84,上の句,ながらへばまたこのごろやしのばれむ,ナガラヘバマタコノゴロヤシノバレム
84,下の句,うしとみしよぞいまはこひしき,ウシトミシヨゾイマハコヒシキ
85,上の句,よもすがらものおもふころはあけやらで,ヨモスガラモノオモフコロハアケヤラデ
85,下の句,ねやのひまさへつれなかりけり,ネヤノヒマサヘツレナカリケリ
86,上の句,なげけとてつきやはものおおもはする,ナゲケトテツキヤハモノオオモハスル
86,下の句,かこちがほなるわがなみだかな,カコチガホナルワガナミダカナ
87,上の句,むらさめのつゆもまだひぬまきのはに,ムラサメノツユモマダヒヌマキノハニ
87,下の句,きりたちのぼるあきのゆふぐれ,キリタチノボルアキノユフグレ
88,上の句,なにはえのあしのかりねのひとよゆえ,ナニハエノアシノカリネノヒトヨユエ
88,下の句,みおつくしてやこひわたるべき,ミオツクシテヤコヒワタルベキ
89,上の句,たまのおよたえなばたえねながらへば,タマノオヨタエナバタエネナガラヘバ
89,下の句,しのぶることのよわりもぞする,シノブルコトノヨワリモゾスル
90,上の句,みせばやなおじまのあまのそでだにも,ミセバヤナオジマノアマノソデダニモ
90,下の句,ぬれにぞぬれしいろはかはらず,ヌレニゾヌレシイロハカハラズ
91,上の句,きりぎりすなくやしもよのさむしろに,キリギリスナクヤシモヨノサムシロニ
91,下の句,ころもかたしきひとりかもねむ,コロモカタシキヒトリカモネム
92,上の句,わがそではしほひにみえぬおきのいしの,ワガソデハシホヒニミエヌオキノイシノ
92,下の句,ひとこそしらねかわくまもなし,ヒトコソシラネカワクマモナシ
93,上の句,よのなかはつねにもがもななぎさこぐ,ヨノナカハツネニモガモナナギサコグ
93,下の句,あまのおぶねのつなでかなしも,アマノオブネノツナデカナシモ
94,上の句,みよしののやまのあきかぜさよふけて,ミヨシノノヤマノアキカゼサヨフケテ
94,下の句,ふるさとさむくころもうつなり,フルサトサムクコロモウツナリ
95,上の句,おほけなくうきよのたみにおほふかな,オホケナクウキヨノタミニオホフカナ
95,下の句,わがたつそまにすみぞめのそで,ワガタツソマニスミゾメノソデ
96,上の句,はなさそふあらしのにはのゆきならで,ハナサソフアラシノニハノユキナラデ
96,下の句,ふりゆくものはわがみなりけり,フリユクモノハワガミナリケリ
97,上の句,こぬひとおまつほのうらのゆふなぎに,コヌヒトオマツホノウラノユフナギニ
97,下の句,やくやもしほのみもこがれつつ,ヤクヤモシホノミモコガレツツ
98,上の句,かぜそよぐならのおがはのゆふぐれは,カゼソヨグナラノオガハノユフグレハ
98,下の句,みそぎぞなつのしるしなりける,ミソギゾナツノシルシナリケル
99,上の句,ひともおしひともうらめしあじきなく,ヒトモオシヒトモウラメシアジキナク
99,下の句,よおおもふゆえにものおもふみは,ヨオオモフユエニモノオモフミハ
100,上の句,ももしきやふるきのきばのしのぶにも,モモシキヤフルキノキバノシノブニモ
100,下の句,なほあまりあるむかしなりけり,ナホアマリアルムカシナリケリ
